"Time","Usage for sp25-cs525-0713.cs.illinois.edu","Readiness for 1","Readiness for 0","Readiness for sp25-cs525-0713.cs.illinois.edu"
"2025-05-02T01:19:40.000Z",1.01,0.03,0.04,0.04
"2025-05-02T01:20:00.000Z",0.98,0.03,0.04,0.03
"2025-05-02T01:20:20.000Z",0.95,0.04,0.04,0.04
"2025-05-02T01:20:40.000Z",0.9,0.03,0.03,0.03
"2025-05-02T01:21:00.000Z",1.08,0.03,0.05,0.04
"2025-05-02T01:21:20.000Z",1.06,0.04,0.04,0.04
"2025-05-02T01:21:40.000Z",0.99,0.06,0.04,0.05
"2025-05-02T01:22:00.000Z",1.05,0.06,0.04,0.05
"2025-05-02T01:22:20.000Z",4.95,0.09,0.07,0.08
"2025-05-02T01:22:40.000Z",1.03,0.05,0.05,0.05
"2025-05-02T01:23:00.000Z",3.78,0.07,0.06,0.07
"2025-05-02T01:23:20.000Z",0.96,0.05,0.04,0.05
"2025-05-02T01:23:40.000Z",1.15,0.04,0.04,0.04
"2025-05-02T01:24:00.000Z",1.12,0.04,0.04,0.04
"2025-05-02T01:24:20.000Z",1.28,0.05,0.04,0.04
"2025-05-02T01:24:40.000Z",1.13,0.04,0.03,0.04
"2025-05-02T01:25:00.000Z",1.39,0.04,0.04,0.04
"2025-05-02T01:25:20.000Z",38.13,0.07,0.08,0.07
"2025-05-02T01:25:40.000Z",64.36,0.17,0.23,0.2
"2025-05-02T01:26:00.000Z",73,0.14,0.15,0.14
"2025-05-02T01:26:20.000Z",71.75,0.23,0.23,0.23
"2025-05-02T01:26:40.000Z",58.31,0.15,0.17,0.16
"2025-05-02T01:27:00.000Z",111.07,0.06,0.05,0.06
"2025-05-02T01:27:20.000Z",116.23,0.05,0.04,0.04
"2025-05-02T01:27:40.000Z",83.64,0.11,0.12,0.12
"2025-05-02T01:28:00.000Z",119.01,0.06,0.09,0.07
"2025-05-02T01:28:20.000Z",111.06,0.05,0.06,0.05
"2025-05-02T01:28:40.000Z",121.84,0.04,0.04,0.04
"2025-05-02T01:29:00.000Z",121.27,0.03,0.08,0.05
"2025-05-02T01:29:20.000Z",110.29,0.09,0.06,0.07
"2025-05-02T01:29:40.000Z",116.28,0.04,0.02,0.03
"2025-05-02T01:30:00.000Z",111.71,0.05,0.05,0.05
"2025-05-02T01:30:20.000Z",65.68,0.2,0.19,0.19
"2025-05-02T01:30:40.000Z",68.88,0.2,0.22,0.21
"2025-05-02T01:31:00.000Z",69.53,0.18,0.18,0.18
"2025-05-02T01:31:20.000Z",68.43,0.11,0.12,0.11
"2025-05-02T01:31:40.000Z",27.2,0.13,0.13,0.13
"2025-05-02T01:32:00.000Z",1.28,0.08,0.07,0.07
"2025-05-02T01:32:20.000Z",1.08,0.08,0.06,0.07
"2025-05-02T01:32:40.000Z",1.23,0.08,0.08,0.08
"2025-05-02T01:33:00.000Z",1.14,0.09,0.07,0.08
"2025-05-02T01:33:20.000Z",4.03,0.08,0.08,0.08
"2025-05-02T01:33:40.000Z",1.19,0.1,0.08,0.09
"2025-05-02T01:34:00.000Z",1.16,0.08,0.06,0.07
"2025-05-02T01:34:20.000Z",0.97,0.05,0.05,0.05
"2025-05-02T01:34:40.000Z",1.05,0.06,0.05,0.06
"2025-05-02T01:35:00.000Z",1.01,0.05,0.04,0.04
"2025-05-02T01:35:20.000Z",1.01,0.06,0.04,0.05
"2025-05-02T01:35:40.000Z",1.07,0.06,0.04,0.05
"2025-05-02T01:36:00.000Z",1.08,0.06,0.06,0.06
"2025-05-02T01:36:20.000Z",1.06,0.06,0.06,0.06
"2025-05-02T01:36:40.000Z",1.12,0.07,0.06,0.07
"2025-05-02T01:37:00.000Z",0.96,0.04,0.05,0.05
"2025-05-02T01:37:20.000Z",1,0.04,0.05,0.05
"2025-05-02T01:37:40.000Z",1.13,0.05,0.05,0.05
"2025-05-02T01:38:00.000Z",1.05,0.06,0.06,0.06
"2025-05-02T01:38:20.000Z",1.32,0.06,0.05,0.06
"2025-05-02T01:38:40.000Z",0.97,0.06,0.04,0.05
"2025-05-02T01:39:00.000Z",1.1,0.07,0.06,0.06
"2025-05-02T01:39:20.000Z",1.04,0.05,0.06,0.06
"2025-05-02T01:39:40.000Z",1.03,0.05,0.05,0.05
"2025-05-02T01:40:00.000Z",1.01,0.06,0.04,0.05
"2025-05-02T01:40:20.000Z",0.97,0.06,0.04,0.05
"2025-05-02T01:40:40.000Z",1.16,0.06,0.05,0.06
"2025-05-02T01:41:00.000Z",1.16,0.07,0.06,0.06
